Age,Gender,Income,Employment Type,Experience,Loan Amount,Loan Duration,Credit History,Payment History,Existing Loans,Debt,Savings,EMI,Credit Card Utilization,Loan Purpose,Marital Status,Education,Default History,Interest Rate,Monthly Balance,Credit Mix,Payment Behaviour,Outstanding Debt,Monthly Salary,Occupation,Target
48,Female,35670.66,Writer,24,195922.56,60,17,Excellent,0,1324.42,21989.57,4081.72,35.67,Business,Single,Diploma,1,5,367.2,_,High_spent_Medium_value_payments,1498.02,1904.28,Entrepreneur,Not Creditworthy
32,Female,131577.84,Manager,7,122060.94,24,5,Average,2,816.21,36374.77,5085.87,29.59,Personal,Married,High School,0,4,290.58,Good,High_spent_Small_value_payments,922.3,2723.62,Teacher,Creditworthy
18,Male,48212.8,Writer,0,80917.92,24,25,Excellent,4,1197.02,10406.69,2247.72,39.76,Business,Married,Bachelor,1,27,207.8,_,Low_spent_Medium_value_payments,3723.83,1562.46,Accountant,Not Creditworthy
20,Male,53389.32,Teacher,0,152355.96,60,9,Good,0,933.84,41491.42,2539.27,38.37,Car,Married,Bachelor,1,3,735.03,_,High_spent_Small_value_payments,531.62,10622.24,Doctor,Not Creditworthy
55,Female,28087.16,Unemployed,33,119342.41,84,18,Good,1,1447.48,4409.37,2486.3,32.95,Home,Married,Master,0,10,797.72,_,High_spent_Medium_value_payments,1295.2,10886.17,Writer,Creditworthy
20,Male,82454,Doctor,0,56427.36,60,20,Good,0,3085.36,8311.32,4702.28,34.17,Business,Married,Bachelor,1,1,699.23,_,Low_spent_Medium_value_payments,1496.8,8176.62,Teacher,Not Creditworthy
18,Female,15544.47,Engineer,0,102921.38,12,13,Average,5,2909.71,6753.6,4288.39,34.04,Car,Single,Bachelor,1,22,165.56,Bad,Low_spent_Small_value_payments,3322.38,4940.08,Accountant,Not Creditworthy
21,Male,136680.12,Writer,0,62558.71,48,8,Excellent,1,1269.93,20064.26,1303.31,34.96,Education,Married,Diploma,1,10,111.92,Good,Low_spent_Small_value_payments,443.01,3563.5,Developer,Not Creditworthy
18,Male,20821.8,Lawyer,0,147742.79,84,14,Poor,2,1485.97,6755.37,4103.97,32.03,Personal,Divorced,Bachelor,1,19,264.79,Bad,Low_spent_Small_value_payments,1793.54,1387.3,Musician,Not Creditworthy
32,Male,30922.28,Architect,6,62997.89,48,4,Excellent,2,957.53,2403.53,1049.96,34.38,Medical,Single,Diploma,1,7,533.19,Standard,High_spent_Large_value_payments,1441.44,5212.78,_______,Not Creditworthy
36,Female,31911.34,Journalist,12,50000,36,7,Good,4,737.96,5535.47,833.33,30.82,Home,Married,Master,0,15,430.68,_,High_spent_Large_value_payments,1474.63,4543.96,Doctor,Creditworthy
42,Male,20460.96,Entrepreneur,17,50000,24,18,Good,1,3580.71,8212.28,1388.89,35.91,Personal,Single,Bachelor,0,17,211.75,Bad,Low_spent_Large_value_payments,4381.27,4265.54,Teacher,Creditworthy
33,Female,10000,Media_Manager,11,77297.31,24,13,Excellent,6,1701.58,2546.22,3220.72,30.67,Home,Married,PhD,1,20,494.43,_,High_spent_Medium_value_payments,1400.16,5242.95,Entrepreneur,Not Creditworthy
18,Other,70286.6,Writer,0,134793.94,60,10,Good,6,1553.07,44851.74,5616.41,27.54,Home,Single,Diploma,1,11,484.19,Good,High_spent_Small_value_payments,46.05,3427.37,Scientist,Not Creditworthy
20,Male,20066.6,Journalist,0,229033.58,48,21,Average,4,491.75,14478.12,9543.07,35.18,Personal,Divorced,High School,1,9,516.02,_,Low_spent_Small_value_payments,811.01,7453.75,Mechanic,Not Creditworthy
45,Female,20261.85,Scientist,23,106178.27,48,14,Average,7,1300.71,13629.98,8848.19,27.11,Medical,Single,Master,1,29,259.41,Bad,Low_spent_Small_value_payments,1684.06,0,_______,Not Creditworthy
55,Female,71424.57,Doctor,32,60861.13,24,22,Excellent,4,484.43,39146.47,1014.35,38.55,Education,Single,Bachelor,1,3,317,Good,High_spent_Small_value_payments,106.83,6771.76,Developer,Not Creditworthy
25,Male,20502.64,Engineer,0,105781.08,36,17,Good,8,4182.21,9481.86,2203.77,26.6,Medical,Married,High School,0,4,379.22,Good,High_spent_Small_value_payments,632.46,2612.49,Entrepreneur,Creditworthy
19,Male,29353.04,Teacher,0,116260.71,12,7,Average,6,1882.15,12195.61,2422.1,26.99,Medical,Married,Bachelor,1,17,355.43,Standard,High_spent_Small_value_payments,1178.6,1728.35,_______,Not Creditworthy
21,Female,14976.45,Journalist,0,55010.42,48,19,Good,0,69.51,11362.86,1528.07,24.25,Medical,Married,Bachelor,1,1115,485.15,Good,High_spent_Large_value_payments,133.3,3211.08,Lawyer,Not Creditworthy
46,Male,33928.38,Entrepreneur,20,130344.18,12,14,Good,5,164.66,4721.75,2172.4,24.65,Education,Divorced,Master,1,17,192.17,_,Low_spent_Medium_value_payments,2544.85,3413.38,Doctor,Not Creditworthy
50,Male,99089.52,Media_Manager,29,138716.78,24,17,Excellent,1,338.95,36900.58,5779.87,25.56,Car,Single,Bachelor,0,12,257.98,Standard,High_spent_Medium_value_payments,70.82,2471.64,Entrepreneur,Creditworthy
23,Female,48780.56,Media_Manager,1,143321.67,12,17,Good,1,967.75,34236.44,11943.47,25.05,Education,Single,Bachelor,1,8,386.14,Good,Low_spent_Large_value_payments,284.95,1978.5,Journalist,Not Creditworthy
52,Female,149168.88,Musician,29,136573.04,12,20,Average,0,903.48,62317,5690.54,41.36,Medical,Married,Bachelor,0,29,266.99,Bad,High_spent_Large_value_payments,1916.48,652.5,Media_Manager,Creditworthy
49,Male,140390.32,Journalist,25,126483.46,36,22,Average,3,1423.23,61013.38,2108.06,30.16,Personal,Single,Bachelor,1,25,605.58,Bad,High_spent_Medium_value_payments,2679.69,0,Accountant,Not Creditworthy
29,Male,14952.03,Writer,5,167529.93,12,16,Poor,8,3566.21,907.2,4653.61,35,Personal,Married,Bachelor,1,7,366.64,Standard,Low_spent_Large_value_payments,687.87,2430.72,Manager,Not Creditworthy
45,Female,118248.6,Entrepreneur,20,74674.23,36,11,Good,0,191.09,30341.66,6222.85,44.25,Car,Married,High School,1,12,390.08,Good,High_spent_Large_value_payments,425.84,2061.89,Teacher,Not Creditworthy
50,Female,29097.82,Mechanic,28,57792.18,60,14,Good,4,1079.72,20700.5,1605.34,33.45,Business,Married,PhD,0,23,359.55,Bad,High_spent_Small_value_payments,1657.74,1896.84,Mechanic,Creditworthy
20,Male,125491.64,Teacher,0,114770.39,60,11,Excellent,3,587.63,24284.65,4782.1,40.14,Education,Married,High School,1,12,309,Standard,Low_spent_Medium_value_payments,1663.18,1183.86,Lawyer,Not Creditworthy
38,Male,69197.78,Teacher,17,50000,84,18,Average,7,282.06,48217.55,1388.89,25.33,Business,Married,High School,1,7,364.98,_,Low_spent_Medium_value_payments,497.98,0,Media_Manager,Not Creditworthy
33,Female,17770.48,Musician,12,83914.75,24,7,Average,2,43.54,13175.75,1398.58,30.35,Car,Single,Master,0,18,219.74,Bad,Low_spent_Small_value_payments,3422.49,0,Entrepreneur,Creditworthy
21,Male,124419.66,Lawyer,0,50000,84,7,Good,4,923.85,58091.15,2083.33,39.85,Home,Married,High School,1,1,339.77,Good,High_spent_Medium_value_payments,1278.69,1905.03,Entrepreneur,Not Creditworthy
43,Female,11364.87,Scientist,22,81950.54,48,12,Excellent,3,1227.03,1505.11,1707.3,35.84,Business,Married,High School,0,18,318.61,Standard,Low_spent_Large_value_payments,162.21,1338.01,Mechanic,Creditworthy
21,Female,15399.52,Media_Manager,0,80654.29,24,21,Good,1,556.93,9956.01,6721.19,35.96,Car,Single,High School,1,32,214.72,_,Low_spent_Large_value_payments,1352.88,1901.57,Scientist,Not Creditworthy
18,Female,10320.67,Musician,0,91202.23,12,24,Good,4,1759.88,3611.62,3800.09,30.15,Home,Single,Master,1,16,270.87,Standard,Low_spent_Medium_value_payments,45.82,863.62,Media_Manager,Not Creditworthy
18,Female,13486.62,Architect,0,101997.67,12,10,Excellent,2,45.37,1616.38,2124.95,27.41,Personal,Single,High School,0,14,378.54,Standard,Low_spent_Large_value_payments,179.22,4766.68,Entrepreneur,Creditworthy
33,Male,81411.2,Musician,12,83327.13,48,18,Poor,1,467.99,6936.34,2314.64,35.85,Education,Single,Bachelor,0,12,300.74,Standard,High_spent_Small_value_payments,1029.41,1447.35,Media_Manager,Creditworthy
21,Male,30197.28,Journalist,0,119064.18,60,6,Excellent,4,811.08,1821.17,4961.01,33.57,Home,Married,Bachelor,1,20,302.61,Standard,Low_spent_Small_value_payments,276.34,984.86,Entrepreneur,Not Creditworthy
65,Male,32594.76,Scientist,43,171578.39,60,10,Average,8,1146.39,25758.65,4766.07,35.15,Business,Single,Bachelor,1,24,341.61,_,High_spent_Large_value_payments,3619.68,3121.65,_______,Not Creditworthy
25,Male,68742.75,Doctor,3,173462.88,60,22,Excellent,2,651.38,47530.74,7227.62,31.81,Business,Married,Diploma,1,28,240.84,Bad,Low_spent_Small_value_payments,2637.94,0,Teacher,Not Creditworthy
22,Male,10132.98,Accountant,0,98619.76,12,18,Good,7,1933.63,7718.18,8218.31,30.25,Education,Single,Diploma,1,10,353.25,Good,Low_spent_Medium_value_payments,391.31,5226.01,Manager,Not Creditworthy
39,Male,10000,Entrepreneur,17,102417.56,60,23,Excellent,7,2041.74,7184.62,1706.96,24.41,Home,Married,Diploma,1,6,678.51,Good,High_spent_Medium_value_payments,1030.1,7695.06,Architect,Not Creditworthy
30,Female,72116.25,Mechanic,8,100856.01,24,22,Good,2,243.75,29888.98,4202.33,38.99,Home,Single,Master,0,6,653.14,Standard,Low_spent_Medium_value_payments,1161.1,5844.38,Journalist,Creditworthy
30,Male,34290.12,Writer,9,69397.78,12,23,Excellent,0,2686.81,20150.59,2891.57,36.16,Business,Single,Bachelor,1,29,297.57,_,Low_spent_Small_value_payments,2403.26,3352.68,Media_Manager,Not Creditworthy
18,Female,173968.96,Mechanic,0,50000,48,17,Good,1,1486.89,98673.52,1388.89,27,Car,Married,Bachelor,0,5,373.7,Standard,Low_spent_Large_value_payments,845.93,1755.56,Doctor,Creditworthy
45,Male,86223.03,Journalist,19,86082.28,60,15,Excellent,1,1124.16,13282.34,1793.38,34.33,Education,Married,High School,0,30,267.12,_,Low_spent_Medium_value_payments,1334.8,1142.4,Doctor,Creditworthy
18,Male,29840.22,Lawyer,0,119124.68,84,26,Poor,1,2716.57,5566.18,1985.41,32.3,Home,Married,Bachelor,1,6,793.17,Standard,High_spent_Large_value_payments,543.2,0,Developer,Not Creditworthy
45,Male,35235.18,Media_Manager,22,148889.68,48,17,Excellent,3,2388.85,8906.97,2481.49,32.55,Personal,Single,Bachelor,1,7,439.76,_,!@9#%8,1138.71,5133.13,Writer,Not Creditworthy
28,Male,60116.7,Entrepreneur,3,78905.28,60,15,Average,1,2042.27,39539.72,1315.09,29.8,Medical,Single,Bachelor,1,15,665.11,Standard,High_spent_Medium_value_payments,526.56,8608.96,Mechanic,Not Creditworthy
18,Male,49023.6,Scientist,0,124185.49,48,18,Good,6,2521.52,11394.39,2069.76,40.47,Medical,Single,Bachelor,1,17,265.2,Standard,Low_spent_Medium_value_payments,248.48,8244.87,Media_Manager,Not Creditworthy
45,Female,118879.68,Musician,19,50000,12,14,Average,6,233.76,81579.88,4166.67,35.4,Education,Married,Bachelor,0,8,436.31,_,Low_spent_Medium_value_payments,180.7,2575.02,Accountant,Creditworthy
65,Female,12943.48,Media_Manager,44,119845.53,60,6,Average,6,265.36,9362.65,2496.78,35.95,Business,Married,Diploma,0,12,288.39,Good,Low_spent_Medium_value_payments,48.88,9552.76,Mechanic,Creditworthy
36,Male,30776.8,Manager,13,172424.85,60,8,Average,8,1309.32,6129.32,14368.74,32.79,Business,Married,Master,1,7,594.08,Good,Low_spent_Medium_value_payments,1481.99,10073.25,Journalist,Not Creditworthy
28,Female,141753.72,Mechanic,5,50000,24,8,Excellent,4,477.41,72088.84,4166.67,28.16,Car,Single,High School,0,20,285.06,_,High_spent_Small_value_payments,4834.59,1459.13,Media_Manager,Creditworthy
42,Male,20397.26,Mechanic,20,53352.11,84,7,Average,2,2264.71,10536.25,1482,25.67,Medical,Married,High School,1,1224,492.65,Standard,High_spent_Large_value_payments,996.54,2767.23,_______,Not Creditworthy
32,Male,26217.46,Accountant,7,85531.4,60,20,Excellent,2,1135.43,5331.83,1781.9,34.16,Home,Married,High School,0,7,771,Good,High_spent_Large_value_payments,1396.41,7309.87,Developer,Creditworthy
35,Female,29369.12,Journalist,12,193746.19,24,8,Average,1,1605.81,19963.39,3229.1,30.09,Education,Divorced,High School,1,13,237.49,_,Low_spent_Medium_value_payments,1631.85,1484.36,Engineer,Not Creditworthy
20,Female,89388.72,Architect,0,59311.29,48,8,Poor,1,1030.1,68688.45,1235.65,40.38,Business,Single,Bachelor,0,16,355.44,Standard,High_spent_Large_value_payments,1123.23,1797.19,Lawyer,Creditworthy
32,Male,10000,Engineer,6,50000,60,26,Good,7,1881.18,4870.49,1041.67,36.26,Personal,Single,Master,1,17,174.05,Bad,Low_spent_Small_value_payments,4659.6,6625.69,Manager,Not Creditworthy
44,Male,46066.06,Musician,22,105487.46,24,1208,Good,2,373.75,18052.5,1758.12,39.89,Car,Single,High School,0,31,285.98,Bad,High_spent_Small_value_payments,2626.28,2740.08,Manager,Creditworthy
42,Male,35346.69,Musician,19,126210.26,48,7,Average,1,497.75,7863.04,10517.52,32.09,Business,Married,Diploma,0,23,528.45,Standard,!@9#%8,2412.6,5437.37,Entrepreneur,Creditworthy
37,Male,85328.73,Teacher,13,87032.7,84,20,Poor,1,585.05,32752.39,3626.36,25.72,Business,Married,Diploma,0,16,152.12,_,Low_spent_Large_value_payments,91.84,6082.19,Writer,Creditworthy
26,Female,20821.8,Lawyer,0,56359.95,24,16,Good,2,1485.97,16191.7,2348.33,37.17,Personal,Single,Bachelor,1,18,756.79,Standard,High_spent_Large_value_payments,831.18,7433.34,Mechanic,Not Creditworthy
21,Female,35469.07,Mechanic,0,50000,60,23,Good,0,545.48,7560.97,2083.33,27.61,Personal,Married,Bachelor,1,5,276.87,Standard,Low_spent_Small_value_payments,233.67,1462.18,Mechanic,Not Creditworthy
65,Female,35853.56,Journalist,42,119170.37,60,25,Good,6,2410.94,10545.46,2482.72,25.54,Education,Single,Diploma,1,20,910.48,Standard,High_spent_Large_value_payments,722.28,12046.46,Lawyer,Not Creditworthy
19,Male,87708.69,Unemployed,0,76467.75,36,12,Poor,8,3520.79,23359.45,1274.46,39.26,Medical,Divorced,PhD,1,20,906.64,_,High_spent_Medium_value_payments,501.57,12267.95,Journalist,Not Creditworthy
27,Female,48428.1,Accountant,6,113497.94,12,13,Excellent,8,4152.95,11333.01,3152.72,27.7,Home,Single,Master,1,12,420.88,Good,Low_spent_Medium_value_payments,702.26,7046.06,Teacher,Not Creditworthy
39,Female,115800.54,Entrepreneur,17,94682.31,84,8,Excellent,1,194.96,10214.36,1578.04,27.39,Education,Married,Bachelor,1,16,656.67,Standard,High_spent_Large_value_payments,1410.49,8546.53,Manager,Not Creditworthy
26,Male,74268.2,Teacher,1,50000,84,24,Average,1,1764.61,53440.46,1388.89,37.32,Home,Divorced,High School,1,17,436.89,Standard,High_spent_Large_value_payments,884.77,3000.28,Scientist,Not Creditworthy
43,Female,58317,Writer,22,120117.74,24,14,Good,6,98.97,41227.19,10009.81,40.41,Car,Single,Diploma,1,3,481.76,Good,High_spent_Medium_value_payments,151.33,3511.24,Journalist,Not Creditworthy
28,Female,28128.16,Doctor,7,71574.3,12,8,Average,2,2518.51,5237.93,2982.26,39.72,Personal,Married,Diploma,1,29,242.85,Bad,Low_spent_Small_value_payments,1916.48,652.5,Media_Manager,Not Creditworthy
37,Male,10000,Entrepreneur,16,171062.19,60,12,Excellent,6,1907.73,4231.58,14255.18,24.3,Business,Single,Master,1,28,370.05,Bad,High_spent_Medium_value_payments,1415.11,1677.03,Teacher,Not Creditworthy
29,Female,34107.42,Scientist,7,83520.63,24,18,Good,2,884.77,3618.42,1392.01,28.84,Home,Married,Master,1,26,293.03,Standard,Low_spent_Small_value_payments,2362.17,1284.76,Writer,Not Creditworthy
26,Male,145934.16,Journalist,1,135533.18,12,3,Average,1,1334.34,57497.78,3764.81,44.72,Medical,Married,Diploma,1,6,0,Good,Low_spent_Large_value_payments,82.71,9321.59,Architect,Not Creditworthy
42,Male,134316.2,Architect,16,103661.82,60,19,Poor,0,1383.6,24585.88,1727.7,37.96,Business,Single,Bachelor,0,690,229.22,Standard,Low_spent_Large_value_payments,0,3937.84,_______,Creditworthy
48,Male,25877.95,Doctor,22,61843.06,36,14,Good,1,1111.34,9477.38,1030.72,24.62,Car,Married,Bachelor,0,561,587.79,Standard,High_spent_Medium_value_payments,1.48,0,Architect,Creditworthy
18,Male,16532.33,Teacher,0,161110.04,36,6,Good,7,2551.12,8756.2,3356.46,38.31,Education,Single,Bachelor,1,5,686.17,Good,High_spent_Small_value_payments,791.33,7463.97,Architect,Not Creditworthy
45,Female,28942.3,Media_Manager,20,99328.93,24,25,Good,2,690.71,14168.62,2069.35,33.97,Business,Married,High School,0,14,268.29,_,Low_spent_Small_value_payments,471.81,1157.9,Musician,Creditworthy
54,Female,102630,Manager,31,204321.24,36,7,Average,8,82.66,23347.52,8513.38,36.97,Car,Married,Bachelor,0,19,649.27,_,Low_spent_Medium_value_payments,1031.21,0,Entrepreneur,Creditworthy
23,Female,68988.68,Mechanic,2,145107.9,24,9,Excellent,2,1106.06,38177.79,6046.16,33.37,Personal,Married,High School,1,5,497.59,Good,High_spent_Large_value_payments,975.52,3758.02,Mechanic,Not Creditworthy
23,Female,16355.71,Writer,0,105031.67,12,23,Good,3,1696.82,10150.16,2188.16,35.16,Car,Single,Bachelor,1,28,263.32,Bad,High_spent_Small_value_payments,4182.21,1588.55,Engineer,Not Creditworthy
18,Female,10119.76,Media_Manager,0,57356.15,12,23,Good,4,1388.38,4147.87,1194.92,38.44,Business,Married,Bachelor,1,6,354.51,_,Low_spent_Large_value_payments,125.25,3132.52,Entrepreneur,Not Creditworthy
22,Male,36822.29,Entrepreneur,1,140969.43,24,23,Good,4,125.25,22276.01,5873.73,26.61,Personal,Single,High School,1,8,201.61,Standard,Low_spent_Small_value_payments,441.86,5161.28,Media_Manager,Not Creditworthy
26,Male,17028.31,Media_Manager,4,137406.15,84,8,Good,0,43.02,2543.43,5725.26,34.99,Business,Married,Diploma,1,6,332.84,Standard,High_spent_Medium_value_payments,2371.53,3496.69,Engineer,Not Creditworthy
55,Male,91209.71,Engineer,32,89039.76,84,27,Excellent,1,244.5,70158.74,7419.98,32.21,Car,Single,Master,0,28,315.28,Standard,Low_spent_Medium_value_payments,1710.58,0,Accountant,Creditworthy
22,Female,15081.12,Musician,0,60294.56,48,23,Good,4,1987.21,4166.02,1004.91,23.63,Personal,Married,Bachelor,1,9,92.1,Good,!@9#%8,900.83,3566.76,Architect,Not Creditworthy
31,Male,17161.57,Doctor,7,168424.58,24,24,Good,4,743.2,4151.59,14035.38,30.71,Home,Single,High School,1,7,658.82,Good,High_spent_Medium_value_payments,244.18,10709.91,Engineer,Not Creditworthy
21,Female,32107.52,Scientist,0,71790.96,36,12,Good,3,1295.13,16382.69,1495.65,32.79,Medical,Divorced,High School,1,10,226.52,Good,Low_spent_Medium_value_payments,498.61,6088.59,Teacher,Not Creditworthy
29,Male,52595.46,Mechanic,3,112202.55,48,17,Excellent,6,1394.29,14993.66,1870.04,34.34,Home,Married,Master,1,19,317.16,Standard,High_spent_Small_value_payments,0,0,Doctor,Not Creditworthy
36,Female,23404.86,Unemployed,15,57897.76,60,8,Excellent,0,35.54,2572.89,1206.2,31.98,Home,Married,Bachelor,0,6,403.55,Good,!@9#%8,1147.59,2169.4,Teacher,Creditworthy
18,Male,56803.71,Lawyer,0,98742.84,84,26,Average,6,2593.44,15629.56,2742.86,27.19,Home,Married,Bachelor,1,6,722.67,Good,High_spent_Large_value_payments,849.98,8408.46,Scientist,Not Creditworthy
20,Male,22500.52,Unemployed,0,179806.01,84,23,Good,5,864.7,10115.42,7491.92,27.02,Home,Single,PhD,1,8,547.76,Good,High_spent_Small_value_payments,352.16,11242.78,Lawyer,Not Creditworthy
26,Male,34447.49,Teacher,4,167476.48,12,21,Good,4,922.3,21624.76,13956.37,32.52,Business,Married,Bachelor,0,17,116.88,Standard,Low_spent_Large_value_payments,1173.7,6284.61,Engineer,Creditworthy
51,Male,99007.68,Writer,29,142265.01,12,22,Poor,0,31.89,8156.73,11855.42,34.81,Personal,Single,High School,1,5,288.03,Standard,Low_spent_Small_value_payments,2008.06,1497.78,Scientist,Not Creditworthy
59,Male,143741.2,Mechanic,38,142561.27,24,17,Poor,0,1073.37,101553.29,11880.11,33.48,Personal,Married,High School,0,21,220.63,_,Low_spent_Small_value_payments,4912.8,1380.68,Developer,Creditworthy
44,Male,76391.48,Musician,23,50000,60,7,Average,2,614.83,29781.81,1388.89,29.47,Car,Single,Bachelor,1,6,527.39,Good,Low_spent_Medium_value_payments,744.97,10998.18,Teacher,Not Creditworthy
55,Male,25138.62,Scientist,32,175993.88,48,16,Good,0,329.82,15576.45,7333.08,26.23,Business,Married,Bachelor,1,24,273.11,Bad,Low_spent_Small_value_payments,1716.56,514.27,Developer,Not Creditworthy
25,Female,15604.56,Entrepreneur,2,177019.57,60,23,Excellent,3,2686.18,8849.96,14751.63,35.18,Business,Single,Bachelor,0,23,181.91,Bad,Low_spent_Large_value_payments,3825.82,4339.36,Scientist,Creditworthy
33,Male,42220.39,Accountant,8,63077.33,24,18,Poor,4,257.81,33570.88,1051.29,34.16,Business,Married,Bachelor,1,10,448.74,Good,High_spent_Medium_value_payments,670.05,3568.57,Journalist,Not Creditworthy
25,Male,73362.2,Accountant,0,121677.19,48,18,Good,2,738.81,9806.13,3379.92,27.3,Home,Married,PhD,0,22,234.8,Bad,Low_spent_Medium_value_payments,4064.57,412.11,Doctor,Creditworthy
32,Female,34153.67,Unemployed,11,108422.22,48,24,Excellent,2,226.31,20736.56,9035.18,38.18,Medical,Married,High School,0,34,417.11,Bad,High_spent_Large_value_payments,1693.64,2473.91,_______,Creditworthy
32,Female,21546.93,Accountant,8,149851.7,48,20,Good,1,313.06,13419.25,4162.55,32.4,Personal,Single,Bachelor,1,2,314.31,Good,High_spent_Medium_value_payments,160.03,1480.73,Architect,Not Creditworthy
32,Male,26716.09,Architect,10,60709.83,84,11,Good,3,643.89,14380.01,5059.15,34.07,Home,Single,Master,1,9,1185.13,_,High_spent_Large_value_payments,108.82,13725.2,Doctor,Not Creditworthy
21,Female,69977.6,Scientist,0,128698.25,36,15,Poor,8,3042.36,4597.09,3574.95,28.13,Medical,Married,Bachelor,1,19,1210.06,Standard,High_spent_Large_value_payments,185.7,11894.04,Teacher,Not Creditworthy
25,Female,15604.56,Entrepreneur,0,177019.57,84,23,Excellent,3,2686.18,9195.83,14751.63,35.18,Business,Single,Bachelor,0,26,339.29,Bad,High_spent_Medium_value_payments,1952.97,4315.88,Journalist,Creditworthy
45,Female,123511.28,Mechanic,19,64277.19,12,27,Excellent,4,1350.6,50967.18,1785.48,31.27,Medical,Single,Diploma,1,3,294.28,Good,High_spent_Medium_value_payments,327.25,0,Mechanic,Not Creditworthy
37,Male,20758.37,Accountant,13,149833.11,36,16,Good,4,1328.24,14289.4,3121.52,34.21,Education,Married,Bachelor,1,17,283.58,Standard,Low_spent_Small_value_payments,735.37,0,Mechanic,Not Creditworthy
49,Male,19848.37,Entrepreneur,28,103223.01,12,11,Average,2,1278.69,2044.17,2150.48,35.53,Medical,Married,Bachelor,0,7,470.18,_,Low_spent_Medium_value_payments,1269.4,7562.84,Lawyer,Creditworthy
28,Male,62320.56,Scientist,4,112996.11,48,22,Good,5,3589.56,24829.67,2354.09,32.02,Medical,Single,Bachelor,1,10,252.41,_,Low_spent_Small_value_payments,409.3,2820.24,Developer,Not Creditworthy
51,Male,169141.6,Entrepreneur,29,143910.72,36,5,Average,1,242.61,15383.03,5996.28,24.24,Business,Married,Master,1,7,354.61,Good,Low_spent_Medium_value_payments,949.65,4626.99,Entrepreneur,Not Creditworthy
